,Capacity (mah),Nominal voltage (V),Cells configuration,Discharge (C),Battery height (mm),Bettry length (mm),Battery width (mm),Battery weight (g),Motor name,Shaft diameter (mm),Motor diameter (mm),Motor height (mm),Magnetic poles,KV (rpm/V),Motor weight (g),No load current (A),Resistance (Ohm),Propeller Name,Propeller diameter (in),Propeller pitch (in),Propeller weight (g),Propeller material,Tests,Peak rotational speed (rpm),Peak torque (Nm),Peak current (A),Peak thrust (kgf),Hovering rotational speed (rpm),Hovering torque (Nm),Hovering current (A),Hovering PWM
24221,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,7,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
24224,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,5,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
24744,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,1950,33.2,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
24760,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,2550,33.8,,0.047,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18255.324068604983,0.019206108200177787,5.128710316186984,0.24512034795486737,18359.082857395726,0.017686308809974325,4.262971569497591,1.0
24804,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13938.845558567831,0.021830907381744032,4.457948186359606,0.2472841827389398,13979.40981750195,0.02098812389873525,4.08976793735469,1.0
24838,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,13000.636543780403,0.02787578407451002,5.400418771794722,0.24362087772453436,13102.604898094964,0.02601117997839983,4.601606752095926,1.0
24904,1550,7.4,2S1P,25,17.0,90.0,30.0,102.0,TMOTOR V2207 V2.0,4.0,27.5,31.35,,2550,34.3,,0.043,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18304.81327285558,0.01930254261311968,5.154461715863363,0.24637111320358607,18376.251863955105,0.018151163644053503,4.502946977153644,1.0
25248,1550,11.1,3S1P,25,24.0,91.0,30.0,142.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
25249,1550,11.1,3S1P,25,24.0,91.0,30.0,142.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26028,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26029,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26034,1550,11.1,3S1P,45,25.0,72.0,36.5,128.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26808,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
26809,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
26814,1550,11.1,3S1P,75,27.0,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
27588,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
27589,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,15576.466203417729,0.030166683779017458,5.054476380977473,0.28821102938201804,14441.497900587905,0.02622664174389475,4.394316001650728,0.9200361719201025
27594,1550,11.1,3S1P,75,27.5,72.0,36.0,136.0,DYS D2812-14,3.175,28.0,12.0,,1600,22.0,,0.27,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,15773.637615259197,0.027442655581884037,4.598061075788897,0.3120052038658347,14020.065261039686,0.02206682042645103,3.6973312501239333,0.8793531734849789
32004,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
32005,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,13427.065727584317,0.022920553426073215,4.800469483970931,0.21800853208356577,14278.61247094427,0.017193180569836267,1.82303331887223,1.0
32010,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2225-12,3.175,22.0,25.0,,2000,32.0,,0.143,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13557.713467356498,0.02073944500769633,4.343659205047219,0.23472560692592093,13958.164480747135,0.017958454680012236,2.9434808365485674,1.0
32021,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,DALPROP 6040,6.0,4.0,4.32,Nylon,7,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
32024,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS D2225-15,3.175,22.0,25.0,,1600,32.0,,0.203,KingKong 6040,6.0,4.0,3.38,Plastic,5,10387.40056274704,0.026692008247919556,4.47228890779852,0.22541605984530277,10908.761945578315,0.023134679947655282,2.867112236520237,1.0
32350,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS Shu,5.0,28.5,17.0,,1750,33.59,,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,12950.0,0.02767525441551121,5.071755263026918,0.24184003012183908,12950.000000286487,0.027675254416644885,5.071755267593405,1.0
32356,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS Shu,5.0,28.5,17.0,,2500,33.59,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18500.0,0.0196850447711353,5.153532669820265,0.2513332027884418,18447.73626240989,0.019582286912068612,5.1266307252868595,0.9971749331032372
32388,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS wei,5.0,27.7,18.2,,2300,34.71,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,17020.0,0.031588381458042374,7.608233413094354,0.35995972163802054,14020.065261039685,0.022066820426451028,5.3149136720531525,0.8237406146321788
32404,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS wei,5.0,27.7,18.2,,2600,34.71,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,19240.0,0.021166452902920248,5.763018988619787,0.27056557778940027,18447.736262410555,0.019582286912068786,5.331695954298381,0.9588220510608396
32422,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,DYS Wu,5.0,27.7,18.7,,1750,31.15,,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,12950.0,0.02767525441551121,5.071755263026918,0.24184003012183908,12950.000000286487,0.027675254416644885,5.071755267593405,1.0
32544,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,1950,33.2,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
32560,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2306.5 V2.0,4.0,28.6,30.45,,2550,33.8,,0.047,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18255.324068604983,0.019206108200177787,5.128710316186984,0.24512034795486737,18359.082857395726,0.017686308809974325,4.262971569497591,1.0
32568,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2307 V2.0,4.0,28.6,30.95,,1950,35.1,,0.067,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13854.102894855883,0.02158600394383098,4.407938041669481,0.24446537209420582,13950.315436826699,0.01992014891032941,3.6715236369943143,1.0
32604,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR P2207 V2.0,4.0,28.1,31.0,,1950,33.7,,0.0565,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13938.845558567831,0.021830907381744032,4.457948186359606,0.2472841827389398,13979.40981750195,0.02098812389873525,4.08976793735469,1.0
32638,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR P2505,4.0,30.4,28.8,,1850,31.25,,0.069,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,13000.636543780403,0.02787578407451002,5.400418771794722,0.24362087772453436,13102.604898094964,0.02601117997839983,4.601606752095926,1.0
32704,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2207 V2.0,4.0,27.5,31.35,,2550,34.3,,0.043,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,18304.81327285558,0.01930254261311968,5.154461715863363,0.24637111320358607,18376.251863955105,0.018151163644053503,4.502946977153644,1.0
32712,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2306 V2.0,4.0,27.9,30.3,,1950,32.0,,0.064,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,13878.12350861539,0.02165529378206923,4.4220872707100325,0.2452628378785153,13785.406206688262,0.020440631986030054,5.165014369956677,1.0
32718,1800,7.4,2S1P,25,17.3,89.79,30.2,100.06,TMOTOR V2306 V2.0,4.0,27.9,30.3,,1950,32.0,,0.064,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,13878.12350861539,0.02165529378206923,4.4220872707100325,0.2452628378785153,13785.406206688262,0.020440631986030054,5.165014369956677,1.0
49152,2700,11.1,3S1P,25,26.0,106.0,33.0,194.0,DYS D1410,,14.0,10.5,,3500,5.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,38850.0,0.14542048492852166,53.29939150313558,1.698654547002765,14020.06526103969,0.022066820426451025,8.0879121096461,0.36087684069600234
49156,2700,11.1,3S1P,25,26.0,106.0,33.0,194.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,38850.0,0.07766799645744699,28.466807489126833,1.0139630747169557,18447.73626241014,0.01958228691206867,7.177283015401623,0.47484520623964327
49158,2700,11.1,3S1P,25,26.0,106.0,33.0,194.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,38850.0,0.14542048492852166,53.29939150313558,1.698654547002765,14020.06526103969,0.022066820426451025,8.0879121096461,0.36087684069600234
53820,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,4000,5.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,29600.0,0.08793096942096856,36.832438375647,1.0187751879720712,14020.066077173764,0.022066820507456834,9.243328159241695,0.4736508809856001
53824,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,29600.0,0.0469632749804441,19.671930615111243,0.6081286061749354,18447.73626240989,0.019582286912068606,8.202609160458971,0.6232343331895233
53826,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,29600.0,0.08793096942096856,36.832438375647,1.0187751879720712,14020.066077173764,0.022066820507456834,9.243328159241695,0.4736508809856001
53831,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,4000,5.0,,,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,4,29600.0,0.03367466518614534,14.105610767072235,0.3454417410077838,24922.542577709653,0.02449680596237034,10.261198086372973,0.8419777897874884
53832,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,25900.0,0.06868418657624717,25.17406918369445,0.7925989614955432,14020.065261039685,0.022066820426451028,8.087912109646101,0.5413152610440032
53833,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Gemfan 5040 R,5.0,4.0,3.0,ABS,8,25900.0,0.07727955287981748,28.324435500130424,0.7496741764225212,14441.497900587903,0.026226641743894746,9.612566253610966,0.5575867915284904
53836,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,25900.0,0.036683711805174817,13.445282617764844,0.47311919980053496,18447.737871534544,0.019582287019691384,7.177283054847259,0.7122678714878201
53838,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,25900.0,0.06868418657624717,25.17406918369445,0.7925989614955432,14020.065261039685,0.022066820426451028,8.087912109646101,0.5413152610440032
53842,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,T-Motor 5143 Ultra-Light,5.1,4.3,3.7,Poly Carbonate,3,25900.0,0.0997693433794307,36.56737424529369,0.8901528365794379,13180.61365469923,0.0285939047756976,10.480213471090728,0.5089040021119393
53843,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS D1410,,14.0,10.5,,3500,5.0,,,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,4,25900.0,0.026303781270336918,9.640839362894864,0.26875091621046393,24922.542577709657,0.02449680596237034,8.978548325576352,0.962260331185701
54288,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS BE1104,1.5,14.0,12.5,,4000,5.6,,,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,29600.0,0.08793096942096856,36.832438375647,1.0187751879720712,14020.066077173764,0.022066820507456834,9.243328159241695,0.4736508809856001
54292,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS BE1104,1.5,14.0,12.5,,4000,5.6,,,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,29600.0,0.0469632749804441,19.671930615111243,0.6081286061749354,18447.73626240989,0.019582286912068606,8.202609160458971,0.6232343331895233
54294,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS BE1104,1.5,14.0,12.5,,4000,5.6,,,Gemfan 6030 Thick hub,6.0,3.0,5.23,Plastic,7,29600.0,0.08793096942096856,36.832438375647,1.0187751879720712,14020.066077173764,0.022066820507456834,9.243328159241695,0.4736508809856001
54299,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,DYS BE1104,1.5,14.0,12.5,,4000,5.6,,,Gemfan 3052 - Flash,3.0,5.2,1.6,Poly Carbonate,4,29600.0,0.03367466518614534,14.105610767072235,0.3454417410077838,24922.542577709653,0.02449680596237034,10.261198086372973,0.8419777897874884
54588,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,6030 Carbon Nylon,6.0,3.0,2.22,Carbon Nylon,16,18264.107547320273,0.03599227836273134,16.96096159354735,0.4110125087750057,14020.065261039685,0.022066820426451025,10.39874414097356,0.6978544126730554
54592,3500,7.4,2S1P,60,18.8,92.8,46.5,149.0,TMOTOR F15,1.5,14.4,13.3,,4500,7.8,,0.197,Carbon Fiber 5030,5.0,3.0,2.18,Carbon Fiber,7,21984.09254927216,0.027087536850592113,12.764701016049449,0.34764107027849717,18447.73626240989,0.01958228691206861,9.227935305516345,0.7996486759985023
